country,province
United States,California
Spain,Northern Spain
United States,Oregon
France,Provence
Italy,Northeastern Italy
France,Southwest France
New Zealand,Kumeu
United States,Washington
Bulgaria,Bulgaria
Italy,Tuscany
France,France Other
Spain,Galicia
Spain,Andalucia
United States,Idaho
France,Rhône Valley
France,Loire Valley
United States,New York
Argentina,Mendoza Province
France,Burgundy
Italy,Piedmont
Portugal,Alentejo
France,Champagne
Israel,Upper Galilee
Portugal,Beira Atlantico
Italy,Veneto
Portugal,Douro
Portugal,Tejo
South Africa,Stellenbosch
Spain,Levante
Portugal,Alentejano
Italy,Sicily & Sardinia
France,Languedoc-Roussillon
Greece,Atalanti Valley
Spain,Catalonia
Greece,Florina
Chile,Marchigue
Chile,Colchagua Valley
Chile,Curicó Valley
Chile,Maule Valley
France,Alsace
Morocco,Guerrouane
Romania,Colinele Dobrogei
Spain,Central Spain
Portugal,Vinho Verde
France,Bordeaux
Germany,Mosel
Germany,Rheinhessen
Germany,Württemberg
Germany,Ahr
Canada,British Columbia
Moldova,Moldova
Spain,Spain Other
Hungary,Sopron
Argentina,Other
Portugal,Dão
Italy,Italy Other
Canada,Ontario
Portugal,Beiras
Portugal,Lisboa
Austria,Burgenland
Germany,Rheingau
Germany,Nahe
Australia,South Australia
Australia,Victoria
Croatia,North Dalmatia
Bulgaria,Thracian Valley
Slovenia,Goriska Brda
South Africa,Western Cape
South Africa,Overberg
South Africa,Robertson
Israel,Galilee
Chile,Cachapoal Valley
Portugal,Terras do Dão
Chile,Leyda Valley
Chile,Peumo
Germany,Baden
Italy,Lombardy
Greece,Peloponnese
Australia,Tasmania
Portugal,Bairrada
Portugal,Portuguese Table Wine
France,Beaujolais
Portugal,Península de Setúbal
Chile,Aconcagua Valley
United States,Virginia
Romania,Dealurile Munteniei
India,Nashik
Austria,Niederösterreich
New Zealand,Marlborough
New Zealand,Central Otago
Austria,Thermenregion
Portugal,Palmela
Portugal,Beira Interior
Portugal,Port
Chile,Casablanca Valley
Hungary,Tokaji
Germany,Franken
New Zealand,Martinborough
Austria,Wagram
Austria,Kamptal
South Africa,South Africa
Chile,Rapel Valley
Chile,Maipo Valley
Croatia,Hvar
Italy,Southern Italy
Austria,Carnuntum
Israel,Judean Hills
Chile,Elqui Valley
Chile,San Antonio
Germany,Pfalz
Austria,Eisenberg
Croatia,Istria
Turkey,Ankara
Slovenia,Štajerska
Portugal,Moscatel de Setúbal
Portugal,Moscatel do Douro
Israel,Samson
Austria,Wachau
Macedonia,Tikves
Lebanon,Lebanon
Austria,Kremstal
Serbia,Župa
Austria,Vienna
Morocco,Morocco
New Zealand,Hawke's Bay
Uruguay,Juanico
Uruguay,Montevideo
Slovenia,Kras
United States,Colorado
Slovenia,Dolenjska
United States,Arizona
United States,America
Chile,Bío Bío Valley
Austria,Weinland Österreich
Austria,Weinviertel
Lebanon,Bekaa Valley
Turkey,Aegean
Italy,Central Italy
Israel,Galil
Chile,Aconcagua Costa
Romania,Recas
Turkey,Turkey
Portugal,Bucelas
Greece,Chalkidiki
Australia,Australia Other
Israel,Jerusalem Hills
Greece,Santorini
Greece,Ilia
Switzerland,Valais
United States,North Carolina
Morocco,Zenata
Greece,Corinth
Slovenia,Vipavska Dolina
Greece,Nemea
Australia,Western Australia
Croatia,Korčula
Greece,Macedonia
Portugal,Minho
Romania,Viile Timisului
Greece,Pangeon
Romania,Romania
Chile,Limarí Valley
Greece,Central Greece
Chile,Central Valley
Portugal,Alenteo
Chile,Chile
Australia,New South Wales
Slovenia,Primorska
Slovenia,Slovenia
New Zealand,Awatere Valley
Uruguay,Progreso
Greece,Retsina
Chile,Apalta
Chile,San Clemente
Romania,Dealu Mare
Portugal,Alenquer
Israel,Shomron
New Zealand,Nelson
Israel,Haut-Judeé
Greece,Drama
New Zealand,Gisborne
Romania,Terasele Dunarii
Uruguay,Uruguay
Brazil,Serra Gaúcha
Chile,Lontué Valley
United States,New Mexico
Chile,Lolol Valley
United States,Missouri
Austria,Wagram-Donauland
Spain,Spanish Islands
Chile,Curicó and Leyda Valleys
Chile,Loncomilla Valley
Turkey,Thrace
South Africa,Swartland
Chile,Casablanca & Leyda Valleys
Austria,Mittelburgenland
Austria,Südsteiermark
Chile,Pirque
South Africa,Simonsberg-Stellenbosch
New Zealand,Canterbury
Chile,Choapa Valley
Greece,Mantinia
Portugal,Duriense
Israel,Negev
South Africa,Walker Bay
South Africa,Paarl
Portugal,Setubal
Portugal,Algarve
South Africa,Coastal Region
Cyprus,Commandaria
South Africa,Jonkershoek Valley
Cyprus,Kathikas
Israel,Dan
Portugal,Ribatejo
South Africa,Elgin
South Africa,Polkadraai Hills
South Africa,Simonsberg-Paarl
Germany,Mosel-Saar-Ruwer
Austria,Österreichischer Sekt
Greece,Crete
Austria,Südoststeiermark
New Zealand,Waipara
South Africa,Malgas
Austria,Styria
Austria,Donauland
Greece,Rapsani
Greece,Opuntia Locris
Greece,Samos
Greece,Vin de Pays de Macédoine
Greece,Greece
Greece,Halkidiki
Greece,Attica
Greece,Cephalonia
Greece,Mount Athos
Portugal,Vinho Espumante de Qualidade
Austria,Neusiedlersee-Hügelland
Portugal,Portugal
Austria,Traisental
Austria,Austria
South Africa,Bot River
South Africa,Wellington
Hungary,Villány
Austria,Neusiedlersee
Greece,Epanomi
Greece,Korinthia
Hungary,Hungary
Lithuania,Lithuania
South Africa,Breedekloof
Japan,Kyoto
South Africa,Franschhoek
Greece,Thraki
South Korea,Jiri Valley
South Africa,Cape Agulhas
United States,Massachusetts
Greece,Naoussa
United States,New Jersey
Chile,Puente Alto
South Africa,Klein River
Chile,Buin
Greece,Mavrodaphne of Patras
Greece,Ilias
Portugal,Távora-Varosa
Chile,Requinoa
Portugal,Colares
United States,Ohio
South Africa,Constantia
Croatia,Peljesac
Turkey,Elazığ
Romania,Sebes
Ukraine,Ukraine
South Africa,Durbanville
Portugal,Vinho da Mesa
New Zealand,Wairau Valley
Portugal,Terras do Sado
Israel,Israel
United States,Michigan
United States,Texas
Italy,Northwestern Italy
South Africa,Hemel en Aarde
United Kingdom,England
Mexico,Valle de Guadalupe
Hungary,Tokaj
Austria,Wiener Gemischter Satz
Greece,Imathia
Chile,Malleco
Georgia,Kakheti
Slovenia,Brda
Greece,Vin de Pays de Velvendo
New Zealand,Waiheke Island
Greece,Amyndeon
Portugal,Transmontanas
Portugal,Vinho Espumante
Croatia,Croatia
Greece,Lemnos
Croatia,Krk
Portugal,Terras da Beira
Mexico,Valle de Guadalupe and Santo Tomás
Georgia,Georgia
Chile,Rapel Valley-Casablanca Valley
Croatia,Middle and South Dalmatia
Austria,Steiermark
Uruguay,Canelones
Greece,Goumenissa
Portugal,Estremadura
Portugal,Obidos
Portugal,Vinho Licoroso
Hungary,Mátra
New Zealand,Waipara Valley
Greece,Achaia
Greece,Cyclades
Portugal,Trás-os-Montes
South Africa,Darling
Brazil,Vale dos Vinhedos
South Africa,Tradouw
Brazil,Brazil
Chile,Santa Cruz
South Africa,Philadelphia
Portugal,Torres Vedras
Chile,Molina
Chile,Itata Valley
Chile,Casablanca-Curicó Valley
South Africa,Cederberg
Croatia,Kutjevo
Portugal,Madeira
United States,Pennsylvania
United States,Iowa
Greece,Patras
Greece,Messinia
Portugal,Ribatejano
Israel,Negev Hills
Greece,Thessalikos
Cyprus,Cyprus
South Africa,Eilandia
Croatia,Dalmatian Coast
South Africa,Groenekloof
Cyprus,Pitsilia Mountains
Germany,Germany
New Zealand,Wairarapa
Bulgaria,Danube Hills Valley
Germany,Rhein-Mosel
Bulgaria,Sliven
Romania,Tarnave
New Zealand,East Coast
Greece,Peza
Romania,Plaiurile Drancei
Hungary,Eger
Romania,Transylvanian Plateau
Hungary,Felso-Magyarország
New Zealand,North Island
Hungary,Neszmély
Luxembourg,Moselle Luxembourgeoise
New Zealand,Marlborough & Hawkes Bay
New Zealand,Eastern Bays
New Zealand,Ohiti Valley
New Zealand,Moutere
New Zealand,New Zealand
Uruguay,San Jose
Uruguay,El Colorado
Uruguay,Colonia
Uruguay,Atlantida
Romania,Vânju Mare
Israel,Golan Heights
Romania,Murfatlar
Romania,Dealurile Hușilor
Portugal,Transmontano
Bulgaria,Black Sea Coastal
Chile,Curicó and Maipo Valleys
Chile,Cauquenes Valley
Greece,Letrinon
Brazil,Santa Catarina
Bulgaria,Danube River Plains
Brazil,Serra do Sudeste
South Africa,Tulbagh
Croatia,Podunavlje
Greece,Arcadia
Greece,Lesbos
Greece,Evia
Greece,Monemvasia
United States,Washington-Oregon
South Africa,Northern Cape
Greece,Ismarikos
Bosnia and Herzegovina,Mostar
United States,Vermont
United States,Connecticut
Mexico,San Antonio de las Minas Valley
Mexico,San Vicente
Chile,Rio Claro
Chile,Maipo Valley-Colchagua Valley
Chile,Colchagua Costa
Hungary,Szekszárd
United States,Kentucky
Romania,Viile Carasului
Canada,Canada Other
Greece,Zitsa
Greece,Lakonia
Greece,Beotia
Portugal,Table wine
Greece,Pisatis
Greece,Amindeo
Greece,Gerania
Greece,Vin de Pays d'Imathia
Moldova,Cahul
Moldova,Codru Region
Greece,Ioannina
Romania,Viile Timis
Egypt,Egypt
Greece,Limnos
Switzerland,Vino da Tavola della Svizzera Italiana
United States,Nevada
Bulgaria,Rose Valley
Switzerland,Ticino
Israel,Ella Valley
China,China
Portugal,Douro Superior
Tunisia,Tunisia
New Zealand,Martinborough Terrace
Morocco,Beni M'Tir
New Zealand,Omaka Valley
New Zealand,Stirling
Austria,South Styria
