"country","wineProduction","wineProductionGallons","pop2020"
"Italy","4250000","1122731","60461.8260"
"France","3641900","962088","65273.5110"
"Spain","3248000","858030","46754.7780"
"United States","2333900","616551","331002.6510"
"Australia","1369000","361651","25499.8840"
"Argentina","1182100","312277","45195.7740"
"China","1163600","307390","1439323.7760"
"South Africa","1080100","285332","59308.6900"
"Chile","949200","250752","19116.2010"
"Germany","746200","197125","83783.9420"
"Portugal","673700","177972","10196.7090"
"Russia","631200","166745","145934.4620"
"Romania","431700","114043","19237.6910"
"Brazil","355300","93860","212559.4170"
"Hungary","318000","84006","9660.3510"
"New Zealand","285100","75315","4822.2330"
"Greece","255000","67363","10423.0540"
"Austria","248600","65673","9006.3980"
"Ukraine","187200","49453","43733.7620"
"Moldova","180100","47577","4033.9630"
"Bulgaria","108000","28530","6948.4450"
"Serbia","99300","26232","8737.3710"
"Georgia","85600","22613","3989.1670"
"Japan","79600","21028","126476.4610"
"Switzerland","79200","20922","8654.6220"
"Peru","76500","20209","32971.8540"
"Croatia","72600","19178","4105.2670"
"Uruguay","67300","17778","3473.7300"
"Czech Republic","64500","17039","10708.9810"
"Turkey","64400","17012","84339.0670"
"Canada","59100","15612","37742.1540"
"Algeria","52000","13736","43851.0440"
"Slovenia","47300","12495","2078.9380"
"Turkmenistan","42600","11253","6031.2000"
"Mexico","38700","10223","128932.7530"
"Uzbekistan","38000","10038","33469.2030"
"Macedonia","36900","9747","2083.3740"
"Morocco","35900","9483","36910.5600"
"Belarus","31000","8189","9449.3230"
"Slovakia","29800","7872","5459.6420"
"Tunisia","27300","7211","11818.6190"
"Kazakhstan","22000","5811","18776.7070"
"India","20400","5389","1380004.3850"
"Israel","20000","5283","8655.5350"
"Albania","17800","4702","2877.7970"
"Montenegro","14800","3909","628.0660"
"Estonia","12000","3170","1326.5350"
"Cuba","11900","3143","11326.6160"
"Cyprus","11000","2905","1207.3590"
"Azerbaijan","10200","2694","10139.1770"
"Lebanon","9700","2562","6825.4450"
"Armenia","9400","2483","2963.2430"
"Luxembourg","9000","2377","625.9780"
"Bolivia","8400","2219","11673.0210"
"Madagascar","8400","2219","27691.0180"
"Bosnia And Herzegovina","6000","1585","3280.8190"
"Egypt","5200","1373","102334.4040"
"Lithuania","4100","1083","2722.2890"
"United Kingdom","3000","792","67886.0110"
"Latvia","2300","607","1886.1980"
"Zimbabwe","2200","581","14862.9240"
"Malta","1500","396","441.5430"
"Kyrgyzstan","1500","396","6524.1950"
"Paraguay","1500","396","7132.5380"
"Ethiopia","1500","396","114963.5880"
"Belgium","700","184","11589.6230"
"Panama","100","26","4314.7670"
"Tajikistan","100","26","9537.6450"
"Syria","100","26","17500.6580"